Mods count: 154
 
                                                          jar name                                                           |    notes     |                  mod id                   |                    mod name                     |          mod version          |                                                                                                                                                                                                                                                                                      mixin configs                                                                                                                                                                                                                                                                                       |              modrinth hash               | curseforge hash
-----------------------------------------------------------------------------------------------------------------------------+--------------+-------------------------------------------+-------------------------------------------------+-------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------+----------------
neoforge-21.1.250 (modloader)                                                                                                |              | neoforge                                  | neoforge                                        | neoforge-21.1.250             |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
aero_cam_sync-1.4.0.jar                                                                                                      |              | aero_cam_sync                             | Aeronautics Camera Sync                         | 1.4.0                         | aero_cam_sync.mixins.json, aero_cam_sync.debug.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | d2abb5fee04cfc0b71aace1cba9fd426e49babf4 | 2395724920     
aeronauticscompat-1.1.3.jar                                                                                                  |              | aeronauticscompat                         | AeronauticsCompat                               | 1.1.3                         | aeronauticscompat.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 4d1aea2d6e27705e284d4603aa3422d84464e406 | 3695437736     
aeroworks-1.5.0.jar                                                                                                          |              | aeroworks                                 | Create: Aeroworks                               | 1.5.0                         | aeroworks-simulated.mixins.json, aeroworks-drivebysable.mixins.json, aeroworks-drivebywire.mixins.json, aeroworks.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 0dffcd74781e2f7d0495c4aad1165eb3473476ec | 3519269381     
afc-2.1.3-1.21.1.jar                                                                                                         |              | afc                                       | ArborFirmaCraft                                 | 2.1.2-1.21                    | afc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 98d986bc77ecaccae7dc0fba3e323f84bbfcf236 | 3148793332     
almostunified-neoforge-1.21.1-1.4.2.jar                                                                                      |              | almostunified                             | AlmostUnified                                   | 1.21.1-1.4.2                  | almostunified-common.mixins.json, almostunified-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | f9a58fa95780f4b045d30559c1fdaedaa7f0fba3 | 1987996700     
almostunified_ie-neoforge-1.21.1-1.0.1.jar                                                                                   |              | almostunified_ie                          | Almost Unified Immersive Engineering            | 1.21.1-1.0.1                  | almostunified_ie.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 0940f4ac40f87ba12e6978ad80eb8eb756822aba | 2394160491     
architectury-13.0.11-neoforge.jar                                                                                            |              | architectury                              | Architectury                                    | 13.0.11                       | architectury.mixins.json, architectury-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 008656a0702801174b8ec245ed7aad1921d6e9f1 | 3623028036     
azimuth-1.4.8.jar                                                                                                            |              | azimuth                                   | Azimuth                                         | 1.4.8                         | azimuth.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 329b649c23a84dcbcbc2172df38a5d87afe94cf1 | 2146382345     
better-advanced-tooltips-2101.1.0-build.5.jar                                                                                |              | betteradvancedtooltips                    | Better Advanced Tooltips                        | 2101.1.0-build.5              | betteradvancedtooltips.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 5b73537b908764f2d3fd593a0f56a8b1b034bc50 | 3337930731     
bits_n_bobs-2.3.4.jar                                                                                                        |              | bits_n_bobs                               | Create Bits 'n' Bobs                            | 2.3.4                         | bits_n_bobs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | ea1f60c1f0c8bf89be0405711adbb07a06310040 | 44548787       
    /META-INF/jarjar/sable-companion-common-1.21.1-1.4.2.jar                                                                 |              | sablecompanion                            | Sable Companion                                 | 1.4.2                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
BlockRunner-v21.1.2-1.21.1-NeoForge.jar                                                                                      |              | blockrunner                               | Block Runner                                    | 21.1.2                        | blockrunner.neoforge.mixins.json, blockrunner.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | ca0bef3916a20315f2444b4deeb976e5c7ae041d | 557813513      
    /META-INF/jars/neoforgedatapackextensions-neoforge-21.1.2.jar                                                            |              | neoforgedatapackextensions                | NeoForge Data Pack Extensions                   | 21.1.2                        | neoforgedatapackextensions.common.mixins.json, neoforgedatapackextensions.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
burningblock-1.0.0.jar                                                                                                       |              | burningblock                              | Burning Block                                   | 1.0.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | d80e3bb609a383f4c1f6b77acd270f00e56972a3 | 3444442579     
burningblocktfc-1.0.0.jar                                                                                                    |              | burningblocktfc                           | Burning Block TFC                               | 1.0.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | d01ece99882b33b7dce2013aaa7b463549f5ca52 | 570824388      
cbc_going_ballistic-0.3.1.jar                                                                                                |              | cbc_going_ballistic                       | Create Big Cannons: Going Ballistic             | 0.3.1                         | cbc_going_ballistic.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 7270f0b116bb73f5946f0827cdcf9551e111fd3d | 1939553109     
chat_heads-0.15.7-neoforge-1.21.jar                                                                                          |              | chat_heads                                | Chat Heads                                      | 0.15.7                        | chat_heads.mixins.json, chat_heads.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 536b2af675229d2a33eb4cf5afbe7148a62d5f3f | 602608061      
Chunky-NeoForge-1.4.23.jar                                                                                                   |              | chunky                                    | Chunky                                          | 1.4.23                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | ab0c74743a653020fe2dfc4986b43e893947f3e9 | 233801764      
contraption-lights-neoforge-1.21.1-1.5.0.jar                                                                                 |              | contraptionlights                         | Contraption Lights                              | 1.5.0                         | contraptionlights.veilshader.mixins.json, contraptionlights.create.mixins.json, contraptionlights.ragdoll.mixins.json, contraptionlights.sable.mixins.json, contraptionlights.flywheel.mixins.json, contraptionlights.sodium.mixins.json, contraptionlights.color.mixins.json                                                                                                                                                                                                                                                                                                            | b0ff192828203892382a374f264b033a41326c8a | 1558011508     
    /META-INF/jarjar/contraptionlights-fixes-neoforge-1.21.1-1.5.0.jar                                                       |              | contraptionlightsfixes                    | Contraption Lights Fixes                        | 1.5.0                         | contraptionlightsfixes.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
